Line Name,Code,Español,English,Code-switching,ToDo
script|job.coral-ocean-plastic.catchScanReef:4,@420D3C38,{@guide}\t Sigue explorando. Necesitas bucear en el Sitio V y escanear todos los organismos de allí.,{@guide}\tKeep exploring. You will need to dive at Site V and scan all the organisms there.,,TRUE
script|job.kelp-shop-welcome.end:27,@359DE6B3,Usa el mapa para ver los trabajos disponibles y viajar a diferentes ecosistemas.,Use the map to view available jobs and travel to different ecosystems.,,TRUE
Job.Arctic|interior.job.arctic.jobGiver.noJob.mentionTio:0,@AFF8B33F,{@profArctic} ¡Oye Ollie!,{@profArctic}  Hey Ollie!,,TRUE
Job.Arctic|interior.job.arctic.jobGiver.noJob.mentionTio:1,@AEF8B1AC,{nameof @kelpMechanic} Dice que recuerdes de ir a hablar con él en la {nameof RS-1C}. ¿Debe ser algo sobre una tarjeta de acceso? ,{nameof kelpMechanic} wants us to remind you to talk to him at the {nameof RS-1C}. Something about upgrading an access card?,,TRUE
Job.Arctic|interior.job.arctic.jobGiver.noJob.mentionTio:2,@B1F8B665,Considera de hacerle una visita antes de aceptar nuevos trabajos.,Consider giving him a visit before taking any new jobs.,,TRUE
Job.Arctic|interior.job.arctic.jobGiver.noJob.mentionTio:3,@B0F8B4D2,"De todos modos, ¿quieres ver la {h}Chamba{/h} que hay?","Anyways, want to see the {h}Job Board{/h}?",,TRUE
Job.Arctic|interior.job.arctic.commsDiscussion:1,@F9588E65,"{nameof @profArctic}, mi tío dijo que Mer estaba trabajando en una actualización para su sistema de comunicaciones.","{nameof @profArctic}, my uncle said Mer was working on an upgrade for her comms system.",,TRUE
Job_Alt.Arctic|interior.job.arctic_alt.jobGiver.noJob.mentionTio:0,@45234577,"{@arcticSci}  Ay, Oli...","{@arcticSci}  Oh, Ollie...",,TRUE
Job_Alt.Arctic|interior.job.arctic_alt.jobGiver.noJob.mentionTio:1,@442343E4,Recibí una llamada de {nameof kelpMechanic} de la {nameof RS-1C}. Quiere hablar contigo sobre la actualización de una tarjeta de acceso.,Got a call from {nameof kelpMechanic} at the {nameof RS-1C}. He wants to talk to you about upgrading an access card.,,TRUE
Job_Alt.Arctic|interior.job.arctic_alt.jobGiver.noJob.mentionTio:2,@4723489D,Tal vez quieras visitarlo antes de aceptar nuevos trabajos.,You may want to visit him before taking any new jobs.,,TRUE
Job_Alt.Arctic|interior.job.arctic_alt.jobGiver.noJob.mentionTio:3,@4623470A,"Dicho esto, ¿quieres ver la {h}Chamba{/h} que hay?","That said, want to see the {h}Job Board{/h}?",,TRUE
Shop.Arctic|interior.shop.arctic.shopOpen.lookingForFlashlight:0,@AFADB813,"{@arcticMechanic} ¡Bienvenida, chavita! ¿Sigues buscando la {nameof Flashlight} que {nameof @coralMechanic} tiró?","{@arcticMechanic} Welcome back, kid! Still looking for the {nameof Flashlight} {nameof @coralMechanic} dropped?",,TRUE
Shop.Arctic|interior.shop.arctic.shopOpen.lookingForFlashlight:1,@AEADB680,Puedo contarte los detalles si necesitas que te refresque la memoria.,I can fill you in on the details if you need a refresher.,,TRUE
Shop.Arctic|interior.shop.arctic.shopOpen.lookingForFlashlight:2,@B1ADBB39,Recuérdame lo de la linterna.,Remind me about the flashlight.,,TRUE
Shop.Arctic|interior.shop.arctic.shopOpen.lookingForFlashlight:3,@B0ADB9A6,¡Enséñame la tienda!,Show me the shop!,,TRUE
Shop.Arctic|interior.shop.arctic.shopOpen.lookingForFlashlight:4,@B3ADBE5F,Olvídalo.,Never mind.,,TRUE
Shop.Arctic|interior.shop.arctic.flashlightRefresher:0,@2A1FEFBD,"{@arcticMechanic}  Bueno, si lo he entendido bien...{nameof @coralMechanic} le pidió prestada la {nameof Flashlight} a tu tío {nameof @kelpMechanic}.","{@arcticMechanic}  Well, if I've got this straight... {nameof @coralMechanic} borrowed the {nameof Flashlight} from your uncle {nameof @kelpMechanic}.",,TRUE
Shop.Arctic|interior.shop.arctic.flashlightRefresher:1,@291FEE2A,Luego se le cayó cerca de {nameof FinalStation}.,Then she dropped it near the {nameof FinalStation}.,,TRUE
Shop.Arctic|interior.shop.arctic.flashlightRefresher:2,@281FEC97,Tendrás que sumergirte tú misma para recuperarla.,You'll have to dive down yourself to get it back.,,TRUE
Shop.Arctic|interior.shop.arctic.flashlightRefresher:3,@271FEB04,Entonces... ¿hay algo más que pueda hacer por ti?,So... anything else I can do for you?,,TRUE
Shop.Arctic|interior.shop.arctic.flashlightRefresher:4,@261FE971,¡Enséñame la tienda!,Show me the shop!,,TRUE
Job.Bayou|interior.job.bayou.jobGiver.noJob.mentionTio:0,@D6DC7B5D,"{@profBayou}  Oli, recibí una llamada de la {nameof RS-1C}. {nameof kelpMechanic} tiene algo urgente que decir.","{@profBayou}  Ollie, I received a call from the {nameof RS-1C}. {nameof kelpMechanic} has something urgent to discuss.",,TRUE
Job.Bayou|interior.job.bayou.jobGiver.noJob.mentionTio:1,@D5DC79CA,No deberías dejarlo esperando mucho tiempo.,You shouldn't leave him waiting too long.,,TRUE
Job.Bayou|interior.job.bayou.jobGiver.noJob.mentionTio:2,@D4DC7837,Te dejaré pensarlo. ¿Quieres ver el {h}Tablón de Chamba{/h}?,I'll let you think about it. Want to see the {h}Job Board{/h}?,,TRUE
Job_Alt.Bayou|interior.job.bayou_alt.jobGiver.noJob.mentionTio:0,@EBFDF5D1,"{@bayouSci}  ¡Hola, Ollie! {nameof kelpMechanic} quiere comentarte algo cuando tengas tiempo.","{@bayouSci}  Oh, hey, Ollie! {nameof kelpMechanic} wants to run something by you when you have some time.",,TRUE
Job_Alt.Bayou|interior.job.bayou_alt.jobGiver.noJob.mentionTio:1,@EAFDF43E,"Está en la {nameof RS-1C} con una actualización. Ahora podría ser un buen momento, ya que no estás en medio de un trabajo.","He's at the {nameof RS-1C} with an upgrade. Now might be a great time, since you aren't in the middle of a job.",,TRUE
Job_Alt.Bayou|interior.job.bayou_alt.jobGiver.noJob.mentionTio:2,@E9FDF2AB,"De todos modos, ¿quieres ver la {h}Chamba{/h}?","Anyway, want to see the {h}Job Board{/h}?",,TRUE
Shop.Bayou|interior.shop.bayou.shopOpen.lookingForFlashlight:0,@DD9E553F,"{@bayouMechanic} ¡Hola! Bienvenida de nuevo, Oli. ¿Tuviste suerte encontrando esa {nameof Flashlight} que {nameof @coralMechanic} tiró?","{@bayouMechanic}  Hey! Welcome back, O. Any luck finding that {nameof Flashlight} {nameof @coralMechanic} dropped?",,TRUE
Shop.Bayou|interior.shop.bayou.shopOpen.lookingForFlashlight:1,@DC9E53AC,"Si has olvidado algún detalle, puedo recordarte lo que pasó.","If you've forgotten any of the details, I can remind you what happened.",,TRUE
Shop.Bayou|interior.shop.bayou.shopOpen.lookingForFlashlight:2,@DF9E5865,Recuérdame lo de la linterna.,Remind me about the flashlight.,,TRUE
Shop.Bayou|interior.shop.bayou.shopOpen.lookingForFlashlight:3,@DE9E56D2,¡Enséñame la tienda!,Show me the shop!,,TRUE
Shop.Bayou|interior.shop.bayou.shopOpen.lookingForFlashlight:4,@D99E4EF3,Olvídalo.,Never mind.,,TRUE
Shop.Bayou|interior.shop.bayou.flashlightRefresher:0,@42949D59,"{@bayouMechanic}  Bien, primer paso, tu tío {nameof @kelpMechanic} prestó la {nameof Flashlight} a {nameof @coralMechanic}.","{@bayouMechanic}  Well, step one, your uncle {nameof @kelpMechanic} lent the {nameof Flashlight} to {nameof @coralMechanic}.",,TRUE
Shop.Bayou|interior.shop.bayou.flashlightRefresher:1,@41949BC6,"Segundo paso, a {nameof @coralMechanic} se le cayó cerca de {nameof FinalStation}.","Step two, {nameof @coralMechanic} dropped it near the {nameof FinalStation}.",,TRUE
Shop.Bayou|interior.shop.bayou.flashlightRefresher:2,@40949A33,"Tercer paso, {nameof @coralMechanic} lo DEJÓ allí.","Step three, {nameof @coralMechanic} LEFT it down there.",,TRUE
Shop.Bayou|interior.shop.bayou.flashlightRefresher:3,@3F9498A0,Así que ahora tendrás que sumergirte al {nameof FinalStation} para corregir la balanza del universo.,So now you'll have to dive down into the {nameof FinalStation} to right the imbalance in the universe.,,TRUE
Shop.Bayou|interior.shop.bayou.flashlightRefresher:4,@4694A3A5,¿Puedo ayudar en algo más?,Can I help with anything else?,,TRUE
Shop.Bayou|interior.shop.bayou.flashlightRefresher:5,@4594A212,¡Enséñame la tienda!,Show me the shop!,,TRUE
Job.Coral|interior.job.coral.jobGiver.noJob.mentionTio:0,@EFBE77FB,"{@profCoral} ¡Hola {random otra vez|nuevamente}, Oli!","{@profCoral}  Hello {random once again|again}, O!",,TRUE
Job.Coral|interior.job.coral.jobGiver.noJob.mentionTio:1,@EEBE7668,"Antes de que eches un vistazo a los trabajos de aquí, deberías saber que {nameof kelpMechanic} te está buscando.","Before you take a look at the jobs here, you should know that {nameof kelpMechanic} is looking for you.",,TRUE
Job.Coral|interior.job.coral.jobGiver.noJob.mentionTio:2,@F1BE7B21,Dice que tiene una actualización de tarjeta de acceso para ti en la {nameof RS-1C}.,He says he has an access card upgrade for you at the {nameof RS-1C}.,,TRUE
Job.Coral|interior.job.coral.jobGiver.noJob.mentionTio:3,@F0BE798E,"Parece que deberías ir a visitarlo, ¿no crees?","Sounds like you should pay him a visit, don't you think?",,TRUE
Job.Coral|interior.job.coral.jobGiver.noJob.mentionTio:4,@F3BE7E47,"Bueno, ya he dicho mi parte... ¿Quieres ver el {h}Tablón de la Chamba{/h}?","Well, I've said my bit... Want to see the {h}Job Board{/h}?",,TRUE
Shop.Coral|interior.shop.coral.shopOpen.lookingForFlashlight:0,@F1BA6C0F,"{@coralMechanic} ¡Hola, Oli! Bienvenida. Así que, acerca de esa linterna que se me cayó...","{@coralMechanic}  Hey, O! Welcome back. So, about that {nameof Flashlight} I dropped...",,TRUE
Shop.Coral|interior.shop.coral.shopOpen.lookingForFlashlight:1,@F0BA6A7C,¿Necesitas ayuda para encontrarla?,Need any help finding it?,,TRUE
Shop.Coral|interior.shop.coral.shopOpen.lookingForFlashlight:2,@F3BA6F35,"Cuanto antes pueda superar esta vergüenza, mejor.","The sooner I can move on from this embarrassment, the better.",,TRUE
Shop.Coral|interior.shop.coral.shopOpen.lookingForFlashlight:3,@F2BA6DA2,Me vendría bien un recordatorio.,I could use a reminder.,,TRUE
Shop.Coral|interior.shop.coral.shopOpen.lookingForFlashlight:4,@EDBA65C3,No es necesario. ¡Enséñame la tienda!,No need. Show me the shop!,,TRUE
Shop.Coral|interior.shop.coral.shopOpen.lookingForFlashlight:5,@ECBA6430,No importa.,Never mind.,,TRUE
Shop.Coral|interior.shop.coral.flashlightRefresher:0,@A16065E9,"{@coralMechanic}  Uf. Vale, seré breve.","{@coralMechanic}  Ugh. Okay, I'll make it short.",,TRUE
Shop.Coral|interior.shop.coral.flashlightRefresher:1,@A0606456,Tu tío {nameof @kelpMechanic} me dio una {nameof Flashlight}.,Your uncle {nameof @kelpMechanic} handed me a {nameof Flashlight}.,,TRUE
Shop.Coral|interior.shop.coral.flashlightRefresher:2,@9F6062C3,Se me cayó. Bravo por mí.,I dropped it. Yay me.,,TRUE
Shop.Coral|interior.shop.coral.flashlightRefresher:3,@9E606130,"Ahora está en el fondo de {nameof FinalStation}, esperando que algún valiente la rescate.","Now it's sitting at the bottom of the {nameof FinalStation}, waiting for some brave soul to rescue it.",,TRUE
Shop.Coral|interior.shop.coral.flashlightRefresher:4,@A5606C35,En fin... ¿quieres echar un vistazo a mi tienda?,Anyhow... wanna take a look around my shop?,,TRUE
Shop.Kelp|interior.shop.kelp.shopOpen.lookingForFlashlight:0,@F5431063,{@kelpMechanic}  ¡Bienvenida Ollie! Supongo que ya te enteraste de que a {nameof @coralMechanic} se le cayó mi {nameof Flashlight} después de que se la prestara.,{@kelpMechanic}  Welcome back Ollie! I guess you heard that {nameof @coralMechanic} dropped my {nameof Flashlight} after I lent it to her.,,TRUE
Shop.Kelp|interior.shop.kelp.shopOpen.lookingForFlashlight:1,@F4430ED0,¿Necesitas ayuda para encontrarla?,Need any help finding it?,,TRUE
Shop.Kelp|interior.shop.kelp.shopOpen.lookingForFlashlight:2,@F7431389,Me vendría bien un repaso sobre linternas.,I could use a refresher about flashlight.,,TRUE
Shop.Kelp|interior.shop.kelp.shopOpen.lookingForFlashlight:3,@F64311F6,"No, gracias. ¡Enséñame la tienda!",No thanks. Show me the shop!,,TRUE
Shop.Kelp|interior.shop.kelp.shopOpen.lookingForFlashlight:4,@F94316AF,Olvídalo.,Never mind.,,TRUE
Shop.Kelp|interior.shop.kelp.flashlightRefresher:0,@AD5EF00D,{@kelpMechanic}  No debería ser grave.,{@kelpMechanic}  It shouldn't be too bad.,,TRUE
Shop.Kelp|interior.shop.kelp.flashlightRefresher:1,@AC5EEE7A,"Como a {nameof @coralMechanic} se le cayó la {nameof Flashlight} sobre la {nameof FinalStation}, tendrás que bajar a recuperarla.","Since {nameof @coralMechanic} dropped the {nameof Flashlight} over the {nameof FinalStation}, you'll just have to go down to retrieve it.",,TRUE
Shop.Kelp|interior.shop.kelp.flashlightRefresher:3,@AA5EEB54,¡Enséñame la tienda!,Show me the shop!,,TRUE
Shop.Kelp|interior.shop.kelp.shopOpen.gotFlashlight:0,@0AA24993,{@kelpMechanic}  ¡Bienvenido Ollie! Vaya... ¿es esa mi {nombredeLinterna}?,{@kelpMechanic}  Welcome back Ollie! Whoa... is that my {nameof Flashlight}?,,TRUE
PartnerHelp|partner.talk.help.noJob.notAtHelm.mentionTio:0,@4E09DF6B,{@player} Así que.... ¿Qué hacemos ahorita?,{@player}       So.... What should we do now?,,TRUE
PartnerHelp|partner.talk.help.noJob.notAtHelm.mentionTio:1,@4D09DDD8,{@guide}        {nameof kelpMechanic} dijo que deberías ir a hablar con él a la {nameof RS-1C} para actualizar tu tarjeta de acceso.,{@guide}        {nameof kelpMechanic} said you should go talk to him at the {nameof RS-1C} to upgrade your access card.,,TRUE
PartnerHelp|partner.talk.help.noJob.notAtHelm.mentionTio:2,@5009E291,"Pero si no te parece bien hacerlo todavía, ¡tendremos que ir a una estación de investigación y aceptar un trabajo!","But if you don't feel like doing that yet, we'll need to head to a research station and take a job!",,TRUE
PartnerHelp|partner.talk.help.noJob.mentionTio.1:0,@51FE96FC,"{@player}       V1ctor, ¿alguna ayuda?","{@player}       V1ctor, any help?",,TRUE
PartnerHelp|partner.talk.help.noJob.mentionTio.1:1,@52FE988F,{@guide}        {nameof kelpMechanic} dijo que deberías ir a hablar con él a la {nameof RS-1C} para renovar tu tarjeta de acceso.,{@guide}        {nameof kelpMechanic} said you should go talk to him at the {nameof RS-1C} to upgrade your access card.,,TRUE
PartnerHelp|partner.talk.help.noJob.mentionTio.1:2,@53FE9A22,"Pero si no te lo quieres hacer todavía, te recomiendo que veamos si hay algún trabajo disponible.","But if you don't feel like doing that yet, I'd recommend we see if there are any jobs available.",,TRUE
ExperimentResponses|partner.talk.experiment.behavior.newObservation.1:1,@0EE74D67,{@guide}    ¡Perfecto!,{@guide}    Nice one!,,TRUE
ExperimentResponses|partner.talk.experiment.behavior.newObservation.2:1,@8E4FE416,{@guide}    Tienes buena vista.,{@guide}    Good catch.,,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.1:0,@B71C8E10,{@guide}    Creo que ya aprendimos todo lo que podemos de este experimento.,{@guide}    I think we've learned all that we can from this experiment.,,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.2:0,@58AC69B5,{@guide}    Fuiste muy meticulosa. Dudo que hayga algo más de este experimento.,{@guide}    You've been pretty thorough here! I doubt we'll learn anything more from this experiment.,,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.missedSome.1:0,@B232474D,"{@guide}    Pues, puede que haygamos perdido algo... deberíamos recomenzar este experimento","{@guide}    Well, we might have missed something... we should finish up and restart this experiment.",,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.missedSome.2:0,@10A26BA8,{@guide}    Creo que nos nos falta algo... deberíamos terminar esto y reiniciar el experimento.,{@guide}    I feel like we missed something... we should finish this up and restart the experiment.,,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.noCircles.1:0,@102DCC07,"{@guide}    Seamos pacientes, creo que aquí hay algo que observar.","{@guide}    Let's be patient, I think there might be something here to observe.",,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.noCircles.2:0,@B351A6D6,{@guide}    Estoy muy seguro de que aquí hay algo nuevo para observar...,{@guide}    I'm pretty sure there's something new here to observe...,,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.1:0,@774E0111,{@guide}    Esperemos otra oportunidad para observar un comportamiento.,{@guide}    Let's wait for another opportunity to observe a behavior.,,TRUE
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.2:0,@55E5FE5C,{@guide}    Ya vimos algo- ¿quizás hay algo más que observar?,{@guide}    We've already seen something - maybe there's something else to observe?,,TRUE
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:0,@25D86D23,{@guide}\tEste es tu {h}{nameof ObservationTank}{/h}.,{@guide}\tThis is your {h}{nameof ObservationTank}{/h}.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:1,@24D86B90,Haz clic en {h}Añadir agua{/h} para llenar el depósito.,Click {h}Add Water{/h} to fill the tank.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:2,@27D87049,Selecciona un {h}Ambiente{/h} y elige qué organismos incluir.,Select an {h}Environment{/h} and choose which organisms to include.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.observation-tank.intro:3,@26D86EB6,"Después, haz clic en {h}Ejecutar Experimento{/h} y registra cómo interactúan los organismos.",Then click {h}Run Experiment{/h} and record how the different life forms interact!,,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:0,@8EAE9D05,{@guide}\tEste es el {h}{nameof StressTank}{/h}.,{@guide}\tThis is the {h}{nameof StressTank}{/h}.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:1,@8DAE9B72,"Al iniciar un experimento, aparecerán controles deslizantes debajo.","Once you start an experiment, there will be sliders on the bottom.",,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:2,@8CAE99DF,Moviendo los controles deslizantes afecta las condiciones del tanque.,Moving the sliders affects the tank conditions.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.intro:3,@8BAE984C,Automáticamente se ajustarán para que no sufran los organismos.,They will auto adjust to make sure the organisms don't get hurt.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:0,@CFB0ABBC,"{@guide} \t¡Un trabajo adecuado, Oli!","{@guide}\tAdequate work, O!",,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:1,@D0B0AD4F,"{@guide} \tMmm. ¿Puedes refrescarme la memoria sobre lo que todo esto significa, {nameof @guide}?","{@player}\tHmm. Can you remind me what this all means, {nameof @guide}?",,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:2,@D1B0AEE2,"{@guide}\tPor supuesto,Oli.","{@guide}\tCertainly, O.",,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:3,@D2B0B075,"Para cada variable del ambiente, las barras muestran los valores de menor a mayor.","For each environment variable, the bars show values from low to high.",,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:4,@CBB0A570,{@guide}\tLas partes grises señalan el rango en que se estresa el organismo.,{@guide}\tThe grayed parts show the range where the organism is stressed.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:5,@CCB0A703,{@player} \tEntiendo. Así que básicamente... ¿conseguimos los rangos de condiciones que estresan al organismo?,{@player} \tGot it. So basically... we're getting the ranges of conditions that stress the organism?,,TRUE
ExperimentResponses|partner.talk.experiment.generic.stress-tank.outro:6,@CDB0A896,{@guide}Exactamente.,{@guide}\tExactly.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:0,@3BCB554D,{@guide}\tEste es el {h} {nameof MeasurementTank}{/h}.,{@guide}\tThis is the {h}{nameof MeasurementTank}{/h}.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:1,@3ACB53BA,Se puede usar para reunir datos numéricos que necesitaremos para realizar simulaciones en el Laboratorio de Modelización.,We can use it to gather numerical facts that we'll need to run simulations in the Modeling Lab.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:2,@39CB5227,Primero seleccionarás un {h}Ambiente{/h}.,First you will select an {h}Environment{/h}.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:3,@38CB5094,"Unas condiciones estresaran a los organismos, otras no. No tengas miedo de seleccionar ecosistemas fuera de tu tarea.","Some environments will stress organisms, others will not. Don't be afraid to select ecosystems outside of your current job!",,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:4,@37CB4F01,Después seleccionarás los {h}Organismos{/h} que estás investigando.,Then you will select the {h}Organisms{/h} you are trying to measure something about.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:5,@36CB4D6E,"Y después, puedes ajustar el {nameof WaterStabilizer} o el {nameof AutoFeeder} si los tienes.","After that, you can set the {nameof WaterStabilizer} or the {nameof AutoFeeder} if you have them.",,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:6,@35CB4BDB,¡Haz clic en el botón {h}Añadir agua{/h} para empezar!,Click the {h}Add Water{/h} button to get started!,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:0,@0274A24D,{@guide}\t Éste es tu {h}{nameof MeasurementTank}{/h}.,{@guide}\tThis is your {h}{nameof MeasurementTank}{/h}.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:1,@0174A0BA,Usalo para recopilar medidas que necesitarás en las simulaciones del Laboratorio de Modelización.,Use it to gather measurements that you'll need for Modeling Lab simulations!,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:2,@00749F27,"Primero, selecciona un {h}Ambiente{/h}.","First, select an {h}Environment{/h}.",,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:3,@FF749D94,Algunos ambientes estresarán a los organismos. Otros no.,Some environments will stress organisms. Others will not.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:4,@FE749C01,No tengas miedo de seleccionar ecosistemas fuera de tu trabajo actual.,Don't be afraid to select ecosystems outside of your current job.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:5,@FD749A6E,"Después, selecciona tus {h}Organismos{/h}.","Next, select your {h}Organisms{/h}.",,TRUE
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:6,@FC7498DB,"Y después ajusta el {nameof WaterStabilizer} o el {nameof AutoFeeder}, si los tienes.","Then set the {nameof WaterStabilizer} or the {nameof AutoFeeder}, if you have them.",,TRUE
ExperimentResponses|partner.talk.experiment.generic.features.intro:0,@4083C475,{@guide}\tAquí es donde puedes modificar las características de los tanques para medir diferentes hechos.,{@guide}\tHere is where you can modify tank features to measure different types of facts.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.features.intro:1,@3F83C2E2,Desactiva el {h}{nameof WaterStabilizer}{/h} si quieres ver cómo cambia su ambiente un organismo.,"Deactivate the {h}{nameof WaterStabilizer}{/h} if you want to see how an organism affects its environment,",,TRUE
ExperimentResponses|partner.talk.experiment.generic.features.intro:2,@3E83C14F,O desactiva el {nameof AutoFeeder} si quieres medir las tasas de consumo.,or turn off the {nameof AutoFeeder} if you want to measure eating rates.,,TRUE
ExperimentResponses|partner.talk.experiment.generic.features.intro:-163,@269EA666,"Si dejas ambos activos, podrás medir las tasas de reproducción.",Leaving both active will allow you to measure reproduction rates.,,TRUE
script|job.above-n-below.start:0,@02886E41,"{@profArctic} ¡Gracias, Oli!","{@profArctic} Thank you, Ollie!",,TRUE
script|job.above-n-below.start:1,@01886CAE,Me di cuenta por los datos de la sonda que otras especies viven en el {m}Paso Efímero{/m}.,I noticed from the probe data that some other species live in the {m}Ephemeral Impasse{/m}.,,TRUE
script|job.above-n-below.start:2,@00886B1B,¡Estoy curiosa por saber si interactúan con las focas listadas!,I'm so curious to find out whether they interact with the Ribbon Seals!,,TRUE
script|job.above-n-below.start:3,@FF886988,Me gustaría resolverlo yo misma... pero parece que nunca hay suficiente tiempo.,Wish I could figure it out myself... it seems like there's never enough time.,,TRUE
script|job.above-n-below.start:4,@0688748D,"Pues, estás dirigiendo una estación científica en condiciones extremas, en lo que mucha gente llamaría el medio de la nada.","{@player}     Well, you are running an entire science station in extreme conditions, in what a lot of people would call the middle of nowhere.",,TRUE
script|job.above-n-below.start:5,@058872FA,"Ja. Puede que sea el medio de la nada, pero es nuestro medio de la nada.","{@profArctic}  Ha. Well, it may be the middle of nowhere, but it's our middle of nowhere.",,TRUE
script|job.above-n-below.start:6,@04887167,Ni tampoco es una mala vista.,"And it's not a bad view, either.",,TRUE
