Line Name, Code, English
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.request-intro_3, @5033E520, "Some environments will stress organisms. Others will not."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.request-intro_4, @5733F025, "Don't be afraid to select ecosystems outside of your current job."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.request-intro_5, @5633EE92, "Next, select your {h}Organisms{/h}."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.request-intro_6, @5533ECFF, "Then set the {nameof WaterStabilizer} or the {nameof AutoFeeder}, if you have them."
ExperimentResponses_partner.talk.experiment.generic.features.intro_0, @56934E45, "{@guide}\tHere is where you can modify tank features to measure different types of facts."
ExperimentResponses_partner.talk.experiment.generic.features.intro_1, @55934CB2, "Deactivate the {h}{nameof WaterStabilizer}{/h} if you want to see how an organism affects its environment,"
ExperimentResponses_partner.talk.experiment.generic.features.intro_2, @54934B1F, "or turn off the {nameof AutoFeeder} if you want to measure eating rates."
ExperimentResponses_partner.talk.experiment.generic.features.intro_-163, @6E164156, "Leaving both active will allow you to measure reproduction rates."
script_job.above-n-below.start_0, @2DAD5BDB, "{@profArctic} Thank you, Ollie!"
script_job.above-n-below.start_1, @2CAD5A48, "I noticed from the probe data that some other species live in the {m}Ephemeral Impasse{/m}."
script_job.above-n-below.start_2, @2FAD5F01, "I'm so curious to find out whether they interact with the Ribbon Seals!"
script_job.above-n-below.start_3, @2EAD5D6E, "Wish I could figure it out myself... it seems like there's never enough time."
script_job.above-n-below.start_4, @31AD6227, "{@player}     Well, you are running an entire science station in extreme conditions, in what a lot of people would call the middle of nowhere."
script_job.above-n-below.start_5, @30AD6094, "{@profArctic}  Ha. Well, it may be the middle of nowhere, but it's our middle of nowhere."
script_job.above-n-below.start_6, @33AD654D, "And it's not a bad view, either."
script_job.above-n-below.start_7, @32AD63BA, "Anyhow, what do you say, Ollie? Can you make a {h}Visual Model{/h} of how all the species interact?"
script_job.above-n-below.start_8, @25AD4F43, "{@player}      I'd love to. I'll let you know what I find out!"
script_job.above-n-below.speciesScanned_0, @56CFDA19, "{@guide}        Now that we have these species scanned and counted, let's drop them in the observation tank."
script_job.above-n-below.experimentsCompleted_0, @18D82C0E, "{@guide}        Time to head to the modeling lab to show how seals and other species interact."
script_job.above-n-below.modelCompleted_0, @1D9C538D, "{@guide}        Looks good! {nameof @profArctic} is waiting."
script_job.above-n-below.catchScanNew_0, @E4578B8F, "{@guide}        Head to {nameof RS-4Y} and scan the species there."
script_job.above-n-below.catchCountNew_0, @545BE70F, "{@guide}        Count the species in the {nameof RS-4Y}."
script_job.above-n-below.catchExperimentInteractions_0, @B0C42B0A, "{@guide}        Place seals in the observation tank with other species they could interact with from {nameof RS-4Y}."
script_job.above-n-below.catchCreateModel_0, @7B095C6B, "{@guide}        Take what you learned from experimentation and create a Visual Model out of it."
script_job.above-n-below.catchReportBack_0, @960AAF31, "{@guide}        Report back to {nameof @profArctic}."
script_job.above-n-below.argue.intro_1, @E82C01B6, "{@profArctic}   Do the seals and bottom-dwelling species interact?"
script_job.above-n-below.argue.intro_2, @E72C0023, "Yes"
script_job.above-n-below.argue.intro_3, @E62BFE90, "No"
script_job.above-n-below.argue.intro_4, @ED2C0995, "Let me get back to you."
script_job.above-n-below.argue.showClaimYes_0, @1C4852C5, "{@profArctic}   Can I see your model?"
script_job.above-n-below.argue.showClaimYes_2, @1A484F9F, "Present facts from AQOS"
script_job.above-n-below.argue.showClaimYes_5, @17484AE6, "Let me get back to you."
script_job.above-n-below.argue.unrelatedYes_1, @12BD447D, "{@profArctic} Huh. That's interesting, Ollie, but it's not really relevant."
script_job.above-n-below.argue.retryYes_1, @AA35EFA1, "{@profArctic}   Hmm, I'm not sure I see how based on your model."
script_job.above-n-below.argue.retryYes_2, @A735EAE8, "Want to try again?"
script_job.above-n-below.argue.showClaimNo_0, @E85CAE03, "{@profArctic}   Can I see your model?"
script_job.above-n-below.argue.showClaimNo_2, @EA5CB129, "Present facts from AQOS"
script_job.above-n-below.argue.showClaimNo_5, @EB5CB2BC, "Let me get back to you."
script_job.above-n-below.argue.unrelatedNo_1, @86EE7DF9, "{@profArctic} Huh. That's interesting, Ollie, but it's not really relevant."
script_job.above-n-below.argue.giveUp_0, @0547F3AF, "{@profArctic} No problem, Ollie. Just let me know when you're ready."
script_job.above-n-below.argue.giveUpNoClaim_0, @8A74D476, "{@profArctic} No problem, Ollie. Just let me know when you're ready."
script_job.above-n-below.argue.completeNo_1, @A3D0C23C, "{@profArctic} Oh, this is fascinating!"
script_job.above-n-below.argue.completeNo_2, @A6D0C6F5, "So it seems the Ribbon Seals and the other species don't really interact..."
script_job.above-n-below.argue.completeNo_3, @A5D0C562, "Except through detritus, I guess."
script_job.above-n-below.argue.completeNo_4, @A0D0BD83, "Thank you, Ollie. I've been wondering about that place for years!"
script_job.arctic-cause-of-death.start_0, @E129E53A, "{@arcticSci} Ah! Looking to do more detective work?"
script_job.arctic-cause-of-death.start_1, @E229E6CD, "{@player}    I guess so. I've been wondering about what could've happened to Linda."
script_job.arctic-cause-of-death.start_2, @DF29E214, "How did she die? What happened to her?"
script_job.arctic-cause-of-death.start_3, @E029E3A7, "{@arcticSci} I've been wondering the same, Ollie."
script_job.arctic-cause-of-death.start_4, @DD29DEEE, "I have two theories: poor water conditions, or a lack of food."
script_job.arctic-cause-of-death.start_5, @DE29E081, "You'll need to check into each theory and decide which is most plausible."
script_job.arctic-cause-of-death.start_9, @DA29DA35, "{@arcticSci}   We already know that {pluralnameof BowheadWhale} eat both diatoms and ice algae."
script_job.arctic-cause-of-death.start_10, @04F6A047, "This data should be useful to you here."
script_job.arctic-cause-of-death.start_16, @02F69D21, "{@arcticSci}   In my work, I've already obtained the water conditions that cause stress to Bowhead Whales."
script_job.arctic-cause-of-death.start_17, @01F69B8E, "You'll be able to compare this to the conditions at {h}Site W{/h}."
script_job.arctic-cause-of-death.switchToJob_1, @FB0F0BE5, "{@arcticSci}   Glad to see you returning to this job, Ollie!"
script_job.arctic-cause-of-death.switchToJob_2, @F80F072C, "{@player}      Of course. We need to find out what happened to Linda."
script_job.arctic-cause-of-death.switchToJob_3, @F90F08BF, "Though I have no idea what these whales eat, so I'm not sure how helpful I'll be."
script_job.arctic-cause-of-death.switchToJob_4, @F60F0406, "{@arcticSci}    Oh dear. I'm sorry, Ollie. I meant to tell you last time!"
script_job.arctic-cause-of-death.switchToJob_5, @F70F0599, "In the course of my work, I've learned that these whales eat both diatoms and ice algae."
script_job.arctic-cause-of-death.switchToJob_6, @F40F00E0, "{@player}       Oh, that's great! Thanks, Professor."
script_job.arctic-cause-of-death.switchToJob_12, @0FAFA375, "{@arcticSci}  It looks like you've obtained the water conditions at {h}Site W{/h}."
script_job.arctic-cause-of-death.switchToJob_13, @0EAFA1E2, "You can compare those with the water conditions that stress the Bowhead Whales. See if it matches up."
script_job.arctic-cause-of-death.helpLost_0, @B05DFD6D, "{@player}  Hey {nameof @guide}... I'm a little lost."
script_job.arctic-cause-of-death.helpLost_1, @AF5DFBDA, "{@guide}   Don't worry, O. Our map and compass are fully operational."
script_job.arctic-cause-of-death.helpLost_2, @AE5DFA47, "{@player}   No. I mean... what are we supposed to do here?"
script_job.arctic-cause-of-death.helpLost_3, @AD5DF8B4, "{@guide}    Ah. You have been tasked with investigating each of {nameof @arcticSci}'s theories about Linda's death: water conditions, or lack of food."
script_job.arctic-cause-of-death.helpLost_4, @AC5DF721, "You will still need more information in order to investigate either theory."
script_job.arctic-cause-of-death.helpLost_5, @AB5DF58E, "Check your {h}AQOS{/h} to see where to go next."
script_job.arctic-cause-of-death.helpScanProbE_0, @64EF5CF6, "{@player} What should we do now, {nameof @guide}?"
script_job.arctic-cause-of-death.helpScanProbE_1, @65EF5E89, "{@guide}  You need to investigate whether the water conditions proved deadly for Linda."
script_job.arctic-cause-of-death.helpScanProbE_2, @62EF59D0, "Try scanning the {h}water chemistry probe{/h} for more data."
script_job.arctic-cause-of-death.helpScanProbP_0, @670B7465, "{@player}  Okay, {nameof @guide}. What's our next step?"
script_job.arctic-cause-of-death.helpScanProbP_1, @660B72D2, "{@guide}   You need to determine if Linda died of starvation."
script_job.arctic-cause-of-death.helpScanProbP_2, @650B713F, "That means you'll need to find out if her food population declined."
script_job.arctic-cause-of-death.helpScanProbP_3, @640B6FAC, "There's no live whale here to help us obtain data on what Bowhead Whales eat..."
script_job.arctic-cause-of-death.helpScanProbP_4, @630B6E19, "So I would suggest gathering data on everything."
script_job.arctic-cause-of-death.helpScanProbP_5, @620B6C86, "{@player}  Got it. Thanks, {nameof @guide}."
script_job.arctic-cause-of-death.helpReport_0, @4FE25D29, "{@player}   Okay, V. What now?"
script_job.arctic-cause-of-death.helpReport_1, @4EE25B96, "{@guide}    It's time to report back to {nameof @arcticSci}!"
script_job.arctic-cause-of-death.helpReport_2, @4DE25A03, "Be sure to review your data and the hypotheses of {nameof @arcticSci} before presenting your findings."
script_job.arctic-cause-of-death.giveWhaleEat_0, @137C1A30, "{@guide}   Adequate work, O!"
script_job.arctic-cause-of-death.giveWhaleEat_1, @147C1BC3, "Incidentally, I've received a transmission from {nameof @arcticSci}."
script_job.arctic-cause-of-death.giveWhaleEat_2, @157C1D56, "According to his data, Bowhead Whales eat both diatoms and ice algae."
script_job.arctic-cause-of-death.giveWhaleEat_3, @167C1EE9, "This should help in your investigation!"
script_job.arctic-cause-of-death.giveWhaleEat_4, @177C207C, "{@player}  ....{nameof @guide}..."
script_job.arctic-cause-of-death.giveWhaleEat_5, @187C220F, "{@guide}   Yes, O?"
script_job.arctic-cause-of-death.giveWhaleEat_6, @197C23A2, "{@player}   Did you wait to tell me this information so that I would have to gather all that extra data from the probe?"
script_job.arctic-cause-of-death.giveWhaleEat_7, @1A7C2535, "{@guide}    Processing... processing..."
script_job.arctic-cause-of-death.giveWhaleEat_8, @1B7C26C8, "{@player}   Oh, never mind, V. I get it. Data is pretty awesome."
script_job.arctic-cause-of-death.giveWhaleStress_0, @3E3F5C5C, "{@guide} Satisfactory work, O!"
script_job.arctic-cause-of-death.giveWhaleStress_1, @3F3F5DEF, "{@player} Thanks, V."
script_job.arctic-cause-of-death.giveWhaleStress_2, @403F5F82, "So what should we do next?"
script_job.arctic-cause-of-death.giveWhaleStress_3, @413F6115, "{@guide}  {nameof @arcticSci} has sent over data on the water conditions that stress the whale."
script_job.arctic-cause-of-death.giveWhaleStress_4, @3A3F5610, "You will need to compare his data to the water conditions here."
script_job.arctic-cause-of-death.reflectionTime_0, @BB4450B4, "{@guide}    It seems you now have gathered enough data to make an educated decision about whether Linda died due to lack of food or poor water conditions."
script_job.arctic-cause-of-death.reflectionTime_1, @BC445247, "When you think you know which hypothesis is correct, report back to {nameof @arcticSci}."
script_job.arctic-cause-of-death.catchGetEnvironmentData_0, @8216EC74, "{@guide}    Collect water chemistry data from a probe at Site W."
script_job.arctic-cause-of-death.catchGetHistPopulationData_0, @2A48E456, "{@guide}    Collect population history data from a probe at Site W."
script_job.arctic-cause-of-death.catchGetCurrPopulationData_0, @E3F4DEA2, "{@guide}    We need to collect the current populations of all organisms at the {h}whalefall site{/h}."
script_job.arctic-cause-of-death.catchReportBack_0, @EE00C5D4, "{@player}   What now, {nameof @guide}?"
script_job.arctic-cause-of-death.catchReportBack_1, @EF00C767, "{@guide}    You need to return to the station and talk to {nameof @arcticSci}!"
script_job.arctic-cause-of-death.argue.intro_1, @5597F1CB, "{@arcticSci} Let's see. We've determined that a change in Linda's food supply is what caused her death."
script_job.arctic-cause-of-death.argue.intro_2, @5697F35E, "What did you determine about the Diatom and Ice Algae populations?"
script_job.arctic-cause-of-death.argue.intro_5, @5997F817, "{@arcticSci} Well, Ollie. Let's see what you discovered."
script_job.arctic-cause-of-death.argue.intro_6, @5A97F9AA, "Which hypothesis is most likely?"
script_job.arctic-cause-of-death.argue.intro_8, @4C97E3A0, "There was a problem with Linda's food supply."
script_job.arctic-cause-of-death.argue.intro_11, @B831EC8E, "There was a problem with Linda's water conditions."
script_job.arctic-cause-of-death.argue.intro_13, @B631E968, "Let me check my notes and get back to you."
script_job.arctic-cause-of-death.argue.foodClaim_0, @9491E1D2, "{@arcticSci}    Hmmm. Okay, let's take it step by step."
script_job.arctic-cause-of-death.argue.foodClaim_1, @9591E365, "What do {pluralnameof BowheadWhale} eat at {nameof RS-4W}?"
script_job.arctic-cause-of-death.argue.stressClaim_0, @260E9E12, "{@arcticSci}   Really? How did Linda's environment compare to the stress ranges I gave you?"
script_job.arctic-cause-of-death.argue.showClaim_1, @5CCC4682, "Present facts from AQOS"
script_job.arctic-cause-of-death.argue.showClaim_4, @59CC41C9, "Let me get back to you."
script_job.arctic-cause-of-death.argue.showClaim2_1, @709C7224, "Present facts from AQOS"
script_job.arctic-cause-of-death.argue.showClaim2_4, @6D9C6D6B, "Let me get back to you."
script_job.arctic-cause-of-death.argue.showClaim3_1, @CF01307F, "Present facts from AQOS"
script_job.arctic-cause-of-death.argue.showClaim3_4, @CA0128A0, "Let me get back to you."
script_job.arctic-cause-of-death.argue.howKnow_2, @7DDADF79, "{@arcticSci}   Exactly right, Ollie."
script_job.arctic-cause-of-death.argue.howKnow_3, @7CDADDE6, "And what did you determine about the populations for Diatoms and Ice Algae?"
script_job.arctic-cause-of-death.argue.transition_3, @8B2F3036, "{@arcticSci}    These ranges seem compatible, Ollie."
script_job.arctic-cause-of-death.argue.transition_4, @8E2F34EF, "There's nothing here that would've caused Linda's death."
script_job.arctic-cause-of-death.argue.transition_5, @8D2F335C, "{@player}       Oh... you're right!"
script_job.arctic-cause-of-death.argue.transition_6, @902F3815, "It must've been her food supply."
script_job.arctic-cause-of-death.argue.unrelated_1, @ABB87EEB, "{@arcticSci}   Well... that's certainly interesting. But it's not what I asked for."
script_job.arctic-cause-of-death.argue.unrelated_2, @ACB8807E, "Can you share any facts related to Linda's {h}food supply{/h}?"
script_job.arctic-cause-of-death.argue.unrelated2_1, @7058A963, "{@arcticSci}  I'm afraid that's not quite what we need here, Ollie."
script_job.arctic-cause-of-death.argue.unrelated2_2, @7158AAF6, "Do you have any facts about {h}stressors{/h} in Linda's environment?"
script_job.arctic-cause-of-death.argue.unrelated3_1, @93CFB9C8, "{@arcticSci}  That's not relevant at the moment... though I'd love to chat more about it later!"
script_job.arctic-cause-of-death.argue.unrelated3_2, @96CFBE81, "For now, what can you tell me about the populations of Linda's food sources?"
script_job.arctic-cause-of-death.argue.giveUp_0, @2C2147D0, "{@arcticSci} Of course, Ollie. Let me know when you're ready."
script_job.arctic-cause-of-death.argue.complete_1, @78A0057C, "{@arcticSci}   Oh no. Poor, dear Linda."
script_job.arctic-cause-of-death.argue.complete_2, @7BA00A35, "{@player}       What is it, Professor?"
script_job.arctic-cause-of-death.argue.complete_3, @7AA008A2, "{@arcticSci}   She must've been lured in by the ice algae. When the ice melts, the algae can become abundant..."
script_job.arctic-cause-of-death.argue.complete_4, @75A000C3, "But it disappears when the seasons change."
script_job.arctic-cause-of-death.argue.complete_5, @749FFF30, "My guess would be that Linda got trapped when the ice refroze and couldn't get back to her pod."
script_job.arctic-cause-of-death.argue.complete_6, @77A003E9, "{@player}     Oh no... and without the algae, she must've starved!"
script_job.arctic-cause-of-death.argue.complete_7, @76A00256, "{@arcticSci}  I think we can reasonably assume that we've found Linda's cause of death."
script_job.arctic-cause-of-death.argue.complete_8, @81A013A7, "{@player}     Ugh. How heartbreaking. I wonder if there's any way to stop this from happening again."
script_job.arctic-cause-of-death.argue.complete_9, @80A01214, "{@arcticSci}   You really are quite like your sister, Ollie."
script_job.arctic-cause-of-death.argue.complete_10, @2FE856A4, "{@player}      Oh... no, I'm not. She was brilliant!"
script_job.arctic-cause-of-death.argue.complete_11, @30E85837, "{@arcticSci}   Well, all I can say is you've helped me greatly today. And I think Meredith would've done the same."
script_job.arctic-disappearing-act.start_3, @FF6AAA19, "{@arcticSci}  Oh, this is so exciting. Whalefalls are exceedingly rare finds!"
script_job.arctic-disappearing-act.start_4, @006AABAC, "{@player}     Huh. I thought you'd be sadder about this, Professor."
script_job.arctic-disappearing-act.start_5, @016AAD3F, "I mean, Linda's body is dead and decaying and being... you know. Slowly devoured."
script_job.arctic-disappearing-act.start_6, @026AAED2, "{@arcticSci}  I know! Wonderful, isn't it?"
script_job.arctic-disappearing-act.start_7, @036AB065, "This is our chance to learn more about how it all works!"
script_job.arctic-disappearing-act.start_8, @046AB1F8, "{@player}     Okay, then. Where do we start?"
script_job.arctic-disappearing-act.start_9, @056AB38B, "{@arcticSci}   If we're going to investigate properly, you'll need to learn more about all the species at {h}Site W{/h}."
script_job.arctic-disappearing-act.start_10, @B1E484F9, "Let me know what you find out!"
script_job.arctic-disappearing-act.gotAllInfo_0, @41753D97, "{@player}  Wow. {nameof @arcticSci} was right about this place, {nameof @guide}."
script_job.arctic-disappearing-act.gotAllInfo_1, @40753C04, "I mean, snow crabs? Zombie worms??"
script_job.arctic-disappearing-act.gotAllInfo_2, @437540BD, "I never even dreamed these things existed!"
script_job.arctic-disappearing-act.gotAllInfo_3, @42753F2A, "{@guide}   Yes. So much delicious new data, all in one place!"
script_job.arctic-disappearing-act.gotAllInfo_4, @3D75374B, "{@player}  We better head back to the AquaLab and keep working. I want to know how all this works!"
script_job.arctic-disappearing-act.helpScan_0, @031E95D0, "{@player}   What now, {nameof @guide}?"
script_job.arctic-disappearing-act.helpScan_1, @041E9763, "{@guide}    It appears you have more organisms to scan!"
script_job.arctic-disappearing-act.helpObserve_0, @81D7DF51, "{@player}   Can I have a little help, {nameof @guide}?"
script_job.arctic-disappearing-act.helpObserve_1, @80D7DDBE, "{@guide}    Certainly, O!"
script_job.arctic-disappearing-act.helpObserve_2, @7FD7DC2B, "First you'll need to use your {h}Observation Tank{/h} to understand how the different organisms from {h}Site W{/h} interact."
script_job.arctic-disappearing-act.helpObserve_3, @7ED7DA98, "Then head to your {nameof Modeling} and use what you found out to create a visual model!"
script_job.arctic-disappearing-act.reportBack_0, @B62F2213, "{@player} What now, {nameof @guide}?"
script_job.arctic-disappearing-act.reportBack_1, @B52F2080, "{@guide}  You've created your model. It's time to report back to {nameof @arcticSci}!"
script_job.arctic-disappearing-act.catchScanCritters_0, @B4BF3846, "{@player} What should I do now?"
script_job.arctic-disappearing-act.catchScanCritters_1, @B5BF39D9, "{@guide}  Your current task is to scan all of the species at Site W!"
script_job.arctic-disappearing-act.catchModelInteractions_0, @F8E4B2DB, "{@player} Okay, {nameof @guide}. What now?"
script_job.arctic-disappearing-act.catchModelInteractions_1, @F7E4B148, "{@guide}  You need to observe the species' interactions, and then create a Visual Model!"
script_job.arctic-disappearing-act.catchReportBack_0, @F58ACCF2, "{@player}   What do we need to do now?"
script_job.arctic-disappearing-act.catchReportBack_1, @F68ACE85, "{@guide}    It's time to report back to {nameof @arcticSci}."
script_job.arctic-disappearing-act.argue.intro_4, @80B49DAA, "{@arcticSci} Excellent! Let's see what you discovered."
script_job.arctic-disappearing-act.argue.intro_5, @81B49F3D, "May I have a look at your visual model of Site W?"
script_job.arctic-disappearing-act.argue.showClaim_1, @37D6FF84, "Present facts from AQOS"
script_job.arctic-disappearing-act.argue.showClaim_4, @34D6FACB, "Let me get back to you."
script_job.arctic-disappearing-act.argue.unrelated_1, @57BA7705, "{@arcticSci} Ah. Forgive me, Ollie but I don't think that's what you were looking for."
script_job.arctic-disappearing-act.argue.giveUp_0, @9AC1912E, "{@arcticSci} Perfectly understandable. These things take time."
script_job.arctic-disappearing-act.argue.giveUp_1, @9BC192C1, "Just let me know when you're ready."
script_job.arctic-disappearing-act.argue.complete_1, @60794BF2, "{@arcticSci}  Ollie, this is fascinating! What a beautiful, intricate web of organisms."
script_job.arctic-disappearing-act.argue.complete_2, @5F794A5F, "And all of them thriving where there was no life, no ecosystem... until now."
script_job.arctic-disappearing-act.argue.complete_3, @5E7948CC, "{@player}      But Linda's body already looks so decayed. How much longer do you think the ecosystem will last?"
script_job.arctic-disappearing-act.argue.complete_4, @5D794739, "{@arcticSci}   Well, that depends on when she died, and what state of decomposition she's in..."
script_job.arctic-disappearing-act.argue.complete_5, @5C7945A6, "But I've already rambled on for too long!"
script_job.arctic-disappearing-act.argue.complete_6, @5B794413, "Thank you again, Ollie. Until next time!"
script_job.arctic-endangered-seals.start_0, @BF7BDFC4, "{@arcticSci}  I did a bit of digging and found these experimental results. They should help with your model."
script_job.arctic-endangered-seals.start_9, @B87BD4BF, "{@arcticSci}    In addition, we deployed a population history probe after you discovered {fullnameof RS-4Y}."
script_job.arctic-endangered-seals.start_10, @6A03D525, "The data is limited because it's only been out a short while, but every bit counts."
script_job.arctic-endangered-seals.afterModelSync_0, @DF71CF16, "{@guide}     Now that we've established a baseline of what has happened, let's project our findings into the future with a Predict Model."
script_job.arctic-endangered-seals.afterModelPredict_0, @02F05244, "{@guide}    All right, back to {nameof @arcticSci}!"
script_job.arctic-endangered-seals.modelSuggestions_2, @21D5BEA2, "{@guide}    You're done with this portion! Head to the {h}Describe{/h} tab next."
script_job.arctic-endangered-seals.modelSuggestions_4, @1BD5B530, "{@guide}    Once you import your facts and save the Visual model, we should be good to make our Describe model!"
script_job.arctic-endangered-seals.modelSuggestions_8, @27D5C814, "{@guide}    Time to try out your model in the {h}Describe{/h} tab."
script_job.arctic-endangered-seals.modelSuggestions_10, @EF78EA2D, "{@guide}    Seems like we don't have enough information to complete our model accurately."
script_job.arctic-endangered-seals.modelSuggestions_11, @EE78E89A, "Look for {h}question marks{/h} in the Visual model interface, those point to where we may need more data."
script_job.arctic-endangered-seals.modelSuggestions_13, @EC78E574, "{@guide}    Maybe look into what {pluralnameof RibbonSeal} eat?"
script_job.arctic-endangered-seals.modelSuggestions_27, @D87B048F, "{@guide}    Maybe look into what an {nameof ArcticCopepod} eats?"
script_job.arctic-endangered-seals.modelSuggestions_29, @DE7B0E01, "{@guide}    Maybe look into what a {nameof GlacialAmphipod} eats?"
script_job.arctic-endangered-seals.suggestReproduce_0, @466F4F97, "{@guide}    Did you get all the reproduction rates?"
script_job.arctic-endangered-seals.suggestMeasure_0, @351C7F04, "{@guide}    Using the {h}Measurement Tank{/h} to find the rates of unmeasured behaviors may help us here."
script_job.arctic-endangered-seals.suggestArcticCodEat_0, @4493ED7A, "{@guide}    Maybe look into what {nameof ArcticCod} eats?"
script_job.arctic-endangered-seals.catchScanProbe_0, @96B51D52, "{@guide}    There's a probe at {fullnameof RS-4Y}. We need to scan it."
script_job.arctic-endangered-seals.catchModelSync_0, @0995F935, "{@guide}    Create a Describe Model of the {nameof RS-4Y} in the Modeling Lab."
script_job.arctic-endangered-seals.catchModelPredict_0, @72737B05, "{@guide}    Create a Predict Model of the {nameof RS-4Y} in the Modeling Lab."
script_job.arctic-endangered-seals.catchReportBack_0, @6BE28656, "{@guide}    Head back to the station to let {nameof @arcticSci} what you discovered!"
script_job.arctic-endangered-seals.argue.initialClaim_0, @DB2A49D6, "{@arcticSci}    How are the {nameof RibbonSeal} futures looking?"
