Target Job,Job name-A,Job name-B,Job name-C,Job A (p-value),Job B p-value,Job C p-value,coef-A,coef-B,coef-C,Arg>2,mod>2,exp>2,Time,Job,Task,Biome,Session,Constant
bayou-oxygen-tracking,coral-lionfish-conspiracy,bayou-dirty-detritus,kelp-refuge-failure-simulation,0.03745563202,0.06240409439,0.5423048737,2.08616237,2.266311,0.5895212935,0.8523647719,-0.6118792769,1.48160839,0.0196594318,-0.2002492474,-0.14646214,-6.408115693,0.02571937859,27.3738997
bayou-shrimp-tastrophe,bayou-reef-decision,bayou-methanogen,coral-hunting-lions,0.001294268298,0.2313324993,0.3104646437,1.500617767,0.5310680554,0.4466482613,0.1766073333,-0.124972618,0.501291981,0.003232684536,-0.09325431707,-0.03841357709,0.3851230825,-0.005935973069,-1.096247846
coral-casting-shade,bayou-reef-decision,bayou-dirty-detritus,kelp-refuge-failure-simulation,0.61434706,0.0340673281,0.4286887827,0.598678888,1.738239513,0.3808802853,-0.8160729928,0.01742275864,1.752769358,0.008299910868,-0.001760525353,0.02131251572,1.474870992,-0.02746388303,-2.17427574
coral-eat-seaweed,kelp-shop-welcome,kelp-energy,kelp-bull-kelp-forest,0.9941886616,0.6661622607,0.9939792314,18.83505753,0.957512962,-19.51385982,-0.3692718451,0.2743628342,-0.2592824809,-0.001248674969,0.1645682961,0.05472824943,-0.6988759339,-0.01421756012,2.418342458
coral-fake-fix,bayou-shrimp-yields,coral-turtle-population,kelp-bull-kelp-forest,0.3472390548,0.9581404502,0.2905259651,-0.4114364443,0.04377538869,0.7188189984,2.039713519,0.2350262065,-1.941731799,-0.0009818912745,0.09364899258,-0.13594476,0.01882763253,-0.005787369368,0.9627523488
coral-fishy-bizz,kelp-shop-welcome,kelp-bull-kelp-forest,kelp-urchin-barren-predict,0.979586657,0.9771563665,0.6776990376,-13.97384133,15.63796488,-0.295420764,0.8669291032,1.344691087,-1.126195765,-0.006772440649,-0.1239100703,-0.03853943374,-0.8325050586,-0.03000515229,2.404650961
coral-hunting-lions,bayou-reef-decision,bayou-hide-n-seek,bayou-methanogen,0.03535469452,0.3453461538,0.04511461299,1.758283186,-0.7833250945,0.705518818,-0.05256468899,0.3282281101,0.2486821645,0.001125402206,-0.1109835122,0.01141898881,0.1913102397,-0.02131772937,-0.1159694018
coral-lionfish-conspiracy,kelp-shop-welcome,coral-turtle-population,kelp-bull-kelp-forest,0.8586572808,0.009227233716,0.9431795535,0.7846101426,4.234900828,0.3101284476,0.7485308641,0.02379600496,3.860289038,-0.003928630487,-0.3535268504,-0.07153171819,-0.07093365294,-0.01306879499,3.515349884
coral-much-algae,kelp-shop-welcome,bayou-reef-decision,kelp-bull-kelp-forest,0.8892572399,0.1266291552,0.885311809,1.326922638,1.670671422,1.3772169,0.531759159,0.1681072577,1.172334483,-0.006496856809,-0.1919982602,-0.1035203505,0.5586515692,-0.01122788354,0.3008234234
coral-stressed,kelp-shop-welcome,arctic-salmon-monitoring,kelp-bull-kelp-forest,0.954137845,0.7254256712,0.6727700509,0.1288311484,0.2460349588,0.9652172489,0.9438563902,0.2596827336,-0.02170388152,-0.004507125474,0.4358360409,-0.2167206508,-0.3913775191,-0.08243748608,2.223244451
coral-turtle-population,kelp-shop-welcome,arctic-stationary-survival,kelp-bull-kelp-forest,0.002329363137,0.007680865099,0.0002685005924,5.631185348,3.858040942,-7.893438584,-0.2641881216,-8.893337388,7.132443156,0.01881960659,2.514726785,-0.2872774853,-0.2552783234,-0.1190602719,0.9210599991
coral-turtle-stability,bayou-reef-decision,coral-turtle-population,coral-eat-seaweed,0.1349191862,0.2632719447,0.004500135384,1.730166165,-1.081836492,1.810017773,-0.2907862772,0.02717002729,-0.3985587885,0.0007240506258,0.2887191216,0.0005561142807,-0.5293841222,-0.01328930237,2.653292579
kelp-energy,kelp-shop-welcome,kelp-mussel-fest,kelp-bull-kelp-forest,0.3527605135,0.04515207303,0.7146755315,-1.70054296,2.104712073,-0.5121428829,-2.194035956,1.886298302,2.304937144,-0.002908407945,1.326501914,0.05890017467,-0.9320039791,-0.09283169532,4.212494352
kelp-mussel-fest,kelp-shop-welcome,kelp-urchin-farm,kelp-bull-kelp-forest,0.5466556208,0.0001169728227,0.8534793871,0.8232008046,3.512225363,-0.26435087,-0.5769262189,-0.2576009883,-0.09059863383,0.0001446410698,0.5808134981,-0.04526685316,-1.183106892,-0.09414245332,4.572876542
kelp-musselfest-solution,kelp-shop-welcome,kelp-mussel-fest,kelp-bull-kelp-forest,0.9615482138,0.441925154,0.9558567265,-12.2226918,0.5869606491,14.03363555,0.5036889787,0.06615560113,0.07919367667,-0.0001867169807,-0.1373552313,0.01162855651,-0.6899819425,-0.01374495711,2.133395829
kelp-refuge-failure,kelp-shop-welcome,bayou-methanogen,kelp-bull-kelp-forest,0.9922480925,0.005184303994,0.9908787037,-13.9845844,2.105513597,16.4550871,0.2023269341,0.6425703522,1.459656367,0.0004725175246,-0.1830643699,-0.02909602746,0.3951563203,-0.01688132597,-1.203686409
kelp-save-urchin-barren,bayou-methanogen,kelp-energy,kelp-refuge-failure-simulation,0.9916227379,0.7635803919,0.0110997966,20.54541933,0.3236278738,1.504487323,-0.4481908298,1.807267848,-1.278105203,-0.0008746410709,0.4035307642,-0.09421225254,-0.9404894109,-0.01207591648,1.355227034
kelp-start-refuge,kelp-shop-welcome,bayou-displaced-reef,kelp-bull-kelp-forest,0.9584847156,0.06129842527,0.9733754228,-0.1319191605,1.617945554,-0.09004040248,1.086713475,-0.08663474789,0.5409633496,-0.01035181196,0.2623350121,-0.1717039671,0.08291931654,-0.03843093815,2.107594923
kelp-urchin-barren-predict,kelp-refuge-failure-simulation,coral-turtle-population,kelp-start-refuge,0.001346960254,0.7944220762,0.1655180609,4.716435133,-0.6333450207,2.247093902,0.5124978684,10.57773345,-2.804254174,0.05505745119,-0.1426007672,-0.1037736792,0.07713120822,0.01638340564,-2.329686763
kelp-urchin-barren-viz,arctic-missing-whale,coral-lionfish-conspiracy,kelp-bull-kelp-forest,0.0258577022,0.003912659641,0.9203322523,2.021230875,3.518479986,0.1495072379,-0.8937541676,0.05801614913,0.6859411431,0.0319186978,0.1401888406,0.04294060535,-0.4209712794,-0.09684284184,4.349609757
kelp-urchin-farm,kelp-shop-welcome,kelp-energy,kelp-bull-kelp-forest,0.9865697641,0.3285919969,0.98578009,0.4983468957,1.696909229,0.5283814364,0.5344090974,-1.700517036,5.30081766,-0.00475321856,-0.1327240715,0.008840583038,-0.5661453542,-0.02699910141,1.476071444
